Image,Expert01,Expert02
qc_006_S_0547_20060921_redskull_bison,,Pass
qc_006_S_0547_20070305_redskull_bison,,Pass
qc_006_S_0547_20070924_redskull_bison,,Fail
qc_006_S_0547_20080911_redskull_bison,,Pass
qc_006_S_0653_20060705_redskull_bison,,Pass
qc_006_S_0653_20061114_redskull_bison,,Pass
qc_006_S_0675_20060831_redskull_bison,,Pass
qc_006_S_0675_20070426_redskull_bison,,Fail
qc_006_S_0675_20071218_redskull_bison,,Pass
qc_006_S_0675_20081211_redskull_bison,,Pass
qc_006_S_0681_20060831_redskull_bison,,Pass
qc_006_S_0681_20070330_redskull_bison,,Pass
qc_006_S_0681_20071018_redskull_bison,,Pass
qc_006_S_0681_20081017_redskull_bison,,Pass
qc_006_S_0731_20060828_redskull_bison,,Fail
qc_006_S_0731_20070312_redskull_bison,,Fail
qc_006_S_0731_20070831_redskull_bison,,Fail
qc_006_S_0731_20080926_redskull_bison,,Fail
qc_006_S_0731_20110215_redskull_bison,,Fail
qc_006_S_0731_20111117_redskull_bison,,Fail
qc_006_S_0731_20120925_redskull_bison,,Fail
qc_006_S_0731_20131025_redskull_bison,,Fail
qc_006_S_1130_20061130_redskull_bison,,Pass
qc_006_S_1130_20070718_redskull_bison,,Pass
qc_006_S_1130_20080131_redskull_bison,,Pass
qc_006_S_1130_20080828_redskull_bison,,Pass
qc_006_S_1130_20090204_redskull_bison,,Pass
qc_006_S_1130_20100111_redskull_bison,,Pass
qc_006_S_1130_20110208_redskull_bison,,Pass
qc_006_S_1130_20120319_redskull_bison,,Pass
qc_006_S_4150_20111107_redskull_bison,Fail,Fail
qc_006_S_4150_20120312_redskull_bison,Fail,Fail
qc_006_S_4150_20120921_redskull_bison,,Fail
qc_006_S_4150_20130910_redskull_bison,,Fail
qc_006_S_4153_20111104_redskull_bison,,Pass
qc_006_S_4153_20120327_redskull_bison,,Pass
qc_006_S_4153_20120918_redskull_bison,Pass,Pass
qc_006_S_4153_20130916_redskull_bison,,Pass
qc_006_S_4192_20110927_redskull_bison,Fail,Fail
qc_006_S_4192_20111215_redskull_bison,,Fail
qc_006_S_4192_20120507_redskull_bison,,Fail
qc_006_S_4192_20121015_redskull_bison,Fail,Fail
qc_006_S_4192_20131003_redskull_bison,Fail,Fail
qc_006_S_4346_20111110_redskull_bison,,Pass
qc_006_S_4346_20120210_redskull_bison,,Pass
qc_006_S_4346_20120524_redskull_bison,,Pass
qc_006_S_4346_20121127_redskull_bison,,Pass
qc_006_S_4357_20111128_redskull_bison,Pass,Pass
qc_006_S_4357_20120224_redskull_bison,,Pass
qc_006_S_4357_20120619_redskull_bison,,Pass
qc_006_S_4357_20121204_redskull_bison,Pass,Pass
qc_006_S_4357_20140122_redskull_bison,,Pass
qc_006_S_4363_20111116_redskull_bison,,Pass
qc_006_S_4363_20120223_redskull_bison,,Pass
qc_006_S_4363_20120619_redskull_bison,Pass,Pass
qc_006_S_4363_20121214_redskull_bison,Pass,Pass
qc_006_S_4363_20140110_redskull_bison,Pass,Pass
qc_006_S_4449_20120119_redskull_bison,,Pass
qc_006_S_4449_20120419_redskull_bison,Pass,Pass
qc_006_S_4449_20120730_redskull_bison,,Pass
qc_006_S_4449_20130312_redskull_bison,Pass,Pass
qc_006_S_4485_20120201_redskull_bison,Fail,Fail
qc_006_S_4485_20120511_redskull_bison,,Fail
qc_006_S_4485_20120824_redskull_bison,Fail,Fail
qc_006_S_4485_20130226_redskull_bison,Fail,Fail
qc_006_S_4485_20140314_redskull_bison,,Fail
qc_006_S_4515_20120207_redskull_bison,Pass,Pass
qc_006_S_4515_20120511_redskull_bison,,Pass
qc_006_S_4515_20120917_redskull_bison,,Pass
qc_006_S_4515_20130314_redskull_bison,,Pass
qc_006_S_4515_20140326_redskull_bison,Pass,Pass
qc_006_S_4546_20120305_redskull_bison,,Fail
qc_006_S_4546_20120618_redskull_bison,,Fail
qc_006_S_4546_20120924_redskull_bison,,Pass
qc_006_S_4679_20120601_redskull_bison,Fail,Fail
qc_006_S_4679_20120914_redskull_bison,,Fail
qc_006_S_4679_20121207_redskull_bison,,Fail
qc_006_S_4679_20130718_redskull_bison,,Fail
qc_006_S_4679_20140626_redskull_bison,,Fail
qc_006_S_4713_20120514_redskull_bison,,Pass
qc_006_S_4713_20120813_redskull_bison,,Pass
qc_006_S_4713_20121128_redskull_bison,Pass,Pass
qc_006_S_4713_20130612_redskull_bison,Pass,Pass
qc_006_S_4713_20140606_redskull_bison,,Pass
qc_006_S_4867_20120807_redskull_bison,Fail,Fail
qc_006_S_4867_20121113_redskull_bison,Fail,Fail
qc_006_S_4867_20130304_redskull_bison,Fail,Fail
qc_006_S_4867_20131014_redskull_bison,Fail,Fail
qc_006_S_4960_20121009_redskull_bison,Fail,Fail
qc_006_S_4960_20130110_redskull_bison,,Fail
qc_006_S_4960_20130507_redskull_bison,Fail,Fail
qc_006_S_4960_20131106_redskull_bison,Fail,Fail
qc_006_S_4960_20141014_redskull_bison,,Fail
qc_006_S_5153_20130422_redskull_bison,Fail,Fail
qc_006_S_5153_20130802_redskull_bison,Fail,Fail
qc_006_S_5153_20150813_redskull_bison,Fail,Fail
qc_007_S_0041_20051021_redskull_bison,,Pass
qc_007_S_0041_20060515_redskull_bison,,Pass
qc_007_S_0041_20061113_redskull_bison,,Pass
qc_007_S_0041_20070514_redskull_bison,,Pass
qc_007_S_0041_20071108_redskull_bison,,Pass
qc_007_S_0041_20081112_redskull_bison,,Pass
qc_007_S_0041_20100114_redskull_bison,,Pass
qc_007_S_0068_20051130_redskull_bison,,Pass
qc_007_S_0068_20060620_redskull_bison,Pass,Pass
qc_007_S_0068_20061129_redskull_bison,,Pass
qc_007_S_0068_20071212_redskull_bison,,Pass
qc_007_S_0068_20081202_redskull_bison,,Pass
qc_007_S_0068_20100120_redskull_bison,,Pass
qc_007_S_0068_20110111_redskull_bison,,Pass
qc_007_S_0070_20060118_redskull_bison,,Pass
qc_007_S_0070_20060913_redskull_bison,,Pass
qc_007_S_0070_20070319_redskull_bison,,Pass
qc_007_S_0101_20051220_redskull_bison,,Pass
qc_007_S_0101_20060707_redskull_bison,,Pass
qc_007_S_0101_20070129_redskull_bison,,Pass
qc_007_S_0101_20070711_redskull_bison,,Pass
qc_007_S_0101_20071218_redskull_bison,,Pass
qc_007_S_0101_20081223_redskull_bison,,Pass
qc_007_S_0101_20100128_redskull_bison,,Pass
qc_007_S_0128_20060116_redskull_bison,,Fail
